"Name","Family","Source","Rarity","Size","Type","Traits","Level","Spoilers?"
"<u><a href=""Monsters.aspx?ID=1389"">Urdefhan Lasher</a></u>","<u><a href=""MonsterFamilies.aspx?ID=158"">Urdefhan</a></u>","<u><a href=""Sources.aspx?ID=81"" title=""Pathfinder #165: Eyes of Empty Death"">Pathfinder #165</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>, <u><a href=""Traits.aspx?ID=315"">Urdefhan</a></u>","7","—"
"<u><a href=""Monsters.aspx?ID=841"">Urdefhan Tormentor</a></u>","<u><a href=""MonsterFamilies.aspx?ID=158"">Urdefhan</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>, <u><a href=""Traits.aspx?ID=315"">Urdefhan</a></u>","5","—"
"<u><a href=""Monsters.aspx?ID=840"">Urdefhan Warrior</a></u>","<u><a href=""MonsterFamilies.aspx?ID=158"">Urdefhan</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>, <u><a href=""Traits.aspx?ID=315"">Urdefhan</a></u>","3","—"
"<u><a href=""NPCs.aspx?ID=1585"">Uri Zandivar</a></u>","—","<u><a href=""Sources.aspx?ID=14"" title=""Pathfinder #149: Against the Scarlet Triad"">Pathfinder #149</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Medium","","<u><a href=""Traits.aspx?ID=268"">Hobgoblin</a></u>, <u><a href=""Traits.aspx?ID=90"">Human</a></u>","19","Pathfinder #149: Against the Scarlet Triad"
"<u><a href=""NPCs.aspx?ID=1506"">Urnak Lostwind</a></u>","—","<u><a href=""Sources.aspx?ID=86"" title=""Pathfinder #167: Ready? Fight!"">Pathfinder #167</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>, <u><a href=""Traits.aspx?ID=124"">Orc</a></u>","14","Pathfinder #167: Ready? Fight!"
"<u><a href=""NPCs.aspx?ID=1052"">Urok</a></u>","—","<u><a href=""Sources.aspx?ID=73"" title=""No-Prep Character: Urok"">No-Prep Character</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Small","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=335"">Aphorite</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>, <u><a href=""Traits.aspx?ID=224"">Kobold</a></u>","9","—"
"<u><a href=""Monsters.aspx?ID=398"">Uthul</a></u>","—","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Huge","<u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","<u><a href=""Traits.aspx?ID=5"">Air</a></u>, <u><a href=""Traits.aspx?ID=57"">Elemental</a></u>","14","—"
"<u><a href=""Monsters.aspx?ID=1558"">Vaklish</a></u>","—","<u><a href=""Sources.aspx?ID=8"" title=""Pathfinder #147: Tomorrow Must Burn"">Pathfinder #147</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Medium","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>, <u><a href=""Traits.aspx?ID=233"">Rakshasa</a></u>","12","Pathfinder #147: Tomorrow Must Burn"
"<u><a href=""Monsters.aspx?ID=1355"">Valkyrie</a></u>","—","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=111"">Monitor</a></u>","<u><a href=""Traits.aspx?ID=348"">Aesir</a></u>, <u><a href=""Traits.aspx?ID=111"">Monitor</a></u>","12","—"
"<u><a href=""Monsters.aspx?ID=45"">Vampire Bat Swarm</a></u>","<u><a href=""MonsterFamilies.aspx?ID=12"">Bat</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>, <u><a href=""Traits.aspx?ID=239"">Swarm</a></u>","1","—"
"<u><a href=""Monsters.aspx?ID=400"">Vampire Count</a></u>","<u><a href=""MonsterFamilies.aspx?ID=97"">Vampire</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>, <u><a href=""Traits.aspx?ID=242"">Vampire</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=401"">Vampire Mastermind</a></u>","<u><a href=""MonsterFamilies.aspx?ID=97"">Vampire</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>, <u><a href=""Traits.aspx?ID=242"">Vampire</a></u>","9","—"
"<u><a href=""Monsters.aspx?ID=399"">Vampire Spawn</a></u>","<u><a href=""MonsterFamilies.aspx?ID=97"">Vampire</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>, <u><a href=""Traits.aspx?ID=242"">Vampire</a></u>","4","—"
"<u><a href=""Monsters.aspx?ID=819"">Vampire Squid</a></u>","<u><a href=""MonsterFamilies.aspx?ID=155"">Squid</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>, <u><a href=""Traits.aspx?ID=168"">Aquatic</a></u>","0","—"
"<u><a href=""Monsters.aspx?ID=845"">Vampiric Mist</a></u>","—","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=1359"">Vanara Disciple</a></u>","<u><a href=""MonsterFamilies.aspx?ID=274"">Vanara</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>, <u><a href=""Traits.aspx?ID=368"">Vanara</a></u>","1","—"
"<u><a href=""Monsters.aspx?ID=769"">Vanth</a></u>","<u><a href=""MonsterFamilies.aspx?ID=83"">Psychopomp</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=111"">Monitor</a></u>","<u><a href=""Traits.aspx?ID=111"">Monitor</a></u>, <u><a href=""Traits.aspx?ID=232"">Psychopomp</a></u>","7","—"
"<u><a href=""Monsters.aspx?ID=846"">Vaspercham</a></u>","—","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Huge","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>, <u><a href=""Traits.aspx?ID=168"">Aquatic</a></u>","17","—"
"<u><a href=""Monsters.aspx?ID=997"">Vaultbreaker Ooze</a></u>","<u><a href=""MonsterFamilies.aspx?ID=79"">Ooze</a></u>","<u><a href=""Sources.aspx?ID=47"" title=""Pathfinder #158: Sixty Feet Under"">Pathfinder #158</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Large","<u><a href=""Traits.aspx?ID=122"">Ooze</a></u>","<u><a href=""Traits.aspx?ID=108"">Mindless</a></u>, <u><a href=""Traits.aspx?ID=122"">Ooze</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=976"">Vavakia</a></u>","<u><a href=""MonsterFamilies.aspx?ID=28"">Demon</a></u>","<u><a href=""Sources.aspx?ID=36"" title=""Pathfinder #156: The Apocalypse Prophet"">Pathfinder #156</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","<u><a href=""Traits.aspx?ID=42"">Demon</a></u>, <u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","18","—"
"<u><a href=""Monsters.aspx?ID=493"">Vazgorlu</a></u>","—","<u><a href=""Sources.aspx?ID=15"" title=""Pathfinder #150: Broken Promises"">Pathfinder #150</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Large","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>, <u><a href=""Traits.aspx?ID=14"">Astral</a></u>","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>, <u><a href=""Traits.aspx?ID=14"">Astral</a></u>","20","—"
"<u><a href=""Monsters.aspx?ID=5"">Veiled Master</a></u>","<u><a href=""MonsterFamilies.aspx?ID=1"">Alghollthu</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Large","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>, <u><a href=""Traits.aspx?ID=168"">Aquatic</a></u>","14","—"
"<u><a href=""Monsters.aspx?ID=117"">Velociraptor</a></u>","<u><a href=""MonsterFamilies.aspx?ID=32"">Dinosaur</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>, <u><a href=""Traits.aspx?ID=45"">Dinosaur</a></u>","1","—"
"<u><a href=""Monsters.aspx?ID=560"">Veranallia</a></u>","<u><a href=""MonsterFamilies.aspx?ID=10"">Azata</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=23"">Celestial</a></u>","<u><a href=""Traits.aspx?ID=17"">Azata</a></u>, <u><a href=""Traits.aspx?ID=23"">Celestial</a></u>","20","—"
"<u><a href=""Monsters.aspx?ID=754"">Verdurous Ooze</a></u>","<u><a href=""MonsterFamilies.aspx?ID=79"">Ooze</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=122"">Ooze</a></u>","<u><a href=""Traits.aspx?ID=108"">Mindless</a></u>, <u><a href=""Traits.aspx?ID=122"">Ooze</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=500"">Vermlek</a></u>","<u><a href=""MonsterFamilies.aspx?ID=28"">Demon</a></u>","<u><a href=""Sources.aspx?ID=21"" title=""Pathfinder #151: The Show Must Go On"">Pathfinder #151</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","<u><a href=""Traits.aspx?ID=42"">Demon</a></u>, <u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=1577"">Veshumirix</a></u>","—","<u><a href=""Sources.aspx?ID=13"" title=""Pathfinder #148: Fires of the Haunted City"">Pathfinder #148</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Huge","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>","<u><a href=""Traits.aspx?ID=50"">Dragon</a></u>, <u><a href=""Traits.aspx?ID=72"">Fire</a></u>","16","Pathfinder #148: Fires of the Haunted City"
"<u><a href=""NPCs.aspx?ID=970"">Veteran Reclaimer</a></u>","<u><a href=""MonsterFamilies.aspx?ID=201"">Knights of Lastwall</a></u>","<u><a href=""Sources.aspx?ID=12"" title=""Character Guide"">Character Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>, <u><a href=""Traits.aspx?ID=124"">Orc</a></u>","11","—"
"<u><a href=""Monsters.aspx?ID=688"">Vexgit</a></u>","<u><a href=""MonsterFamilies.aspx?ID=58"">Gremlin</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Tiny","<u><a href=""Traits.aspx?ID=69"">Fey</a></u>","<u><a href=""Traits.aspx?ID=69"">Fey</a></u>, <u><a href=""Traits.aspx?ID=221"">Gremlin</a></u>","1","—"
"<u><a href=""Monsters.aspx?ID=1360"">Vilderavn</a></u>","—","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Medium","<u><a href=""Traits.aspx?ID=69"">Fey</a></u>","<u><a href=""Traits.aspx?ID=69"">Fey</a></u>","16","—"
"<u><a href=""Monsters.aspx?ID=428"">Vine Lasher</a></u>","<u><a href=""MonsterFamilies.aspx?ID=106"">Deadly Flora</a></u>","<u><a href=""Sources.aspx?ID=3"" title=""The Fall of Plaguestone"">The Fall of Plaguestone</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=125"">Plant</a></u>","<u><a href=""Traits.aspx?ID=125"">Plant</a></u>","0","—"
"<u><a href=""Monsters.aspx?ID=1218"">Vine Leshy</a></u>","<u><a href=""MonsterFamilies.aspx?ID=67"">Leshy</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=125"">Plant</a></u>","<u><a href=""Traits.aspx?ID=225"">Leshy</a></u>, <u><a href=""Traits.aspx?ID=125"">Plant</a></u>","0","—"
"<u><a href=""Monsters.aspx?ID=853"">Violet Fungus</a></u>","—","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=77"">Fungus</a></u>","<u><a href=""Traits.aspx?ID=77"">Fungus</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=1316"">Viper Swarm</a></u>","<u><a href=""MonsterFamilies.aspx?ID=93"">Snake</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>, <u><a href=""Traits.aspx?ID=239"">Swarm</a></u>","4","—"
"<u><a href=""Monsters.aspx?ID=854"">Viper Vine</a></u>","—","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=125"">Plant</a></u>","<u><a href=""Traits.aspx?ID=125"">Plant</a></u>","13","—"
"<u><a href=""Monsters.aspx?ID=379"">Viper</a></u>","<u><a href=""MonsterFamilies.aspx?ID=93"">Snake</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Tiny","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","-1","—"
"<u><a href=""NPCs.aspx?ID=969"">Virtuous Defender</a></u>","<u><a href=""MonsterFamilies.aspx?ID=201"">Knights of Lastwall</a></u>","<u><a href=""Sources.aspx?ID=12"" title=""Character Guide"">Character Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","4","—"
"<u><a href=""Monsters.aspx?ID=1361"">Vishkanya Infiltrator</a></u>","<u><a href=""MonsterFamilies.aspx?ID=275"">Vishkanya</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>, <u><a href=""Traits.aspx?ID=369"">Vishkanya</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=981"">Viskithrel</a></u>","—","<u><a href=""Sources.aspx?ID=36"" title=""Pathfinder #156: The Apocalypse Prophet"">Pathfinder #156</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Huge","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","15","—"
"<u><a href=""Monsters.aspx?ID=880"">Vitalia</a></u>","—","<u><a href=""Sources.aspx?ID=33"" title=""Pathfinder #155: Lord of the Black Sands"">Pathfinder #155</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Large","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>, <u><a href=""Traits.aspx?ID=168"">Aquatic</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","18","—"
"<u><a href=""Monsters.aspx?ID=855"">Void Zombie</a></u>","—","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Medium","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","1","—"
"<u><a href=""Monsters.aspx?ID=1041"">Voidglutton</a></u>","<u><a href=""MonsterFamilies.aspx?ID=210"">Wisp</a></u>","<u><a href=""Sources.aspx?ID=71"" title=""Pathfinder #163: Ruins of Gauntlight"">Pathfinder #163</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Medium","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>","<u><a href=""Traits.aspx?ID=1"">Aberration</a></u>, <u><a href=""Traits.aspx?ID=5"">Air</a></u>","8","—"
"<u><a href=""Monsters.aspx?ID=336"">Voidworm</a></u>","<u><a href=""MonsterFamilies.aspx?ID=82"">Protean</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Tiny","<u><a href=""Traits.aspx?ID=111"">Monitor</a></u>","<u><a href=""Traits.aspx?ID=111"">Monitor</a></u>, <u><a href=""Traits.aspx?ID=231"">Protean</a></u>","1","—"
"<u><a href=""NPCs.aspx?ID=1538"">Voz Lirayne</a></u>","—","<u><a href=""Sources.aspx?ID=4"" title=""Pathfinder #145: Hellknight Hill"">Pathfinder #145</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=58"">Elf</a></u>, <u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","5","Pathfinder #145: Hellknight Hill"
"<u><a href=""Monsters.aspx?ID=100"">Vrock</a></u>","<u><a href=""MonsterFamilies.aspx?ID=28"">Demon</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","<u><a href=""Traits.aspx?ID=42"">Demon</a></u>, <u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","9","—"
"<u><a href=""Monsters.aspx?ID=603"">Vrolikai</a></u>","<u><a href=""MonsterFamilies.aspx?ID=28"">Demon</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Large","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","<u><a href=""Traits.aspx?ID=42"">Demon</a></u>, <u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","19","—"
"<u><a href=""Monsters.aspx?ID=844"">Vrykolakas Ancient</a></u>","<u><a href=""MonsterFamilies.aspx?ID=159"">Vampire, Vrykolakas</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>, <u><a href=""Traits.aspx?ID=242"">Vampire</a></u>","13","—"
"<u><a href=""Monsters.aspx?ID=843"">Vrykolakas Master</a></u>","<u><a href=""MonsterFamilies.aspx?ID=159"">Vampire, Vrykolakas</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>, <u><a href=""Traits.aspx?ID=242"">Vampire</a></u>","10","—"
"<u><a href=""Monsters.aspx?ID=842"">Vrykolakas Spawn</a></u>","<u><a href=""MonsterFamilies.aspx?ID=159"">Vampire, Vrykolakas</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>, <u><a href=""Traits.aspx?ID=242"">Vampire</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=1056"">Vulpinal</a></u>","<u><a href=""MonsterFamilies.aspx?ID=216"">Agathion</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Small","<u><a href=""Traits.aspx?ID=23"">Celestial</a></u>","<u><a href=""Traits.aspx?ID=349"">Agathion</a></u>, <u><a href=""Traits.aspx?ID=23"">Celestial</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=268"">War Horse</a></u>","<u><a href=""MonsterFamilies.aspx?ID=62"">Horse</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","2","—"
"<u><a href=""Monsters.aspx?ID=267"">War Pony</a></u>","<u><a href=""MonsterFamilies.aspx?ID=62"">Horse</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","1","—"
"<u><a href=""NPCs.aspx?ID=1539"">Warbal Bumblebrasher</a></u>","—","<u><a href=""Sources.aspx?ID=4"" title=""Pathfinder #145: Hellknight Hill"">Pathfinder #145</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Small","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=81"">Goblin</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","1","Pathfinder #145: Hellknight Hill"
"<u><a href=""NPCs.aspx?ID=920"">Warden</a></u>","<u><a href=""MonsterFamilies.aspx?ID=189"">Magistrates</a></u>","<u><a href=""Sources.aspx?ID=22"" title=""Gamemastery Guide"">Gamemastery Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","6","—"
"<u><a href=""Monsters.aspx?ID=402"">Warg</a></u>","<u><a href=""MonsterFamilies.aspx?ID=98"">Warg</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","<u><a href=""Traits.aspx?ID=20"">Beast</a></u>","2","—"
"<u><a href=""Monsters.aspx?ID=404"">Warsworn</a></u>","—","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Gargantuan","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","16","—"
"<u><a href=""Monsters.aspx?ID=406"">Wasp Swarm</a></u>","<u><a href=""MonsterFamilies.aspx?ID=99"">Wasp</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Large","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>","<u><a href=""Traits.aspx?ID=9"">Animal</a></u>, <u><a href=""Traits.aspx?ID=239"">Swarm</a></u>","4","—"
"<u><a href=""NPCs.aspx?ID=936"">Watch Officer</a></u>","<u><a href=""MonsterFamilies.aspx?ID=192"">Officers</a></u>","<u><a href=""Sources.aspx?ID=22"" title=""Gamemastery Guide"">Gamemastery Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","3","—"
